City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,16.25,44,75,11.32,CL,1732048770
1,fale old settlement,-9.3852,-171.2468,27.88,76,91,4.56,TK,1732048771
2,inari,68.906,27.0288,-5.5,79,100,1.9,FI,1732048774
3,howrah,22.5892,88.3103,20.0,83,0,0.0,IN,1732048775
4,edinburgh of the seven seas,-37.0676,-12.3116,15.75,84,100,11.9,SH,1732048776
5,anadyr,64.75,177.4833,2.28,87,0,8.0,RU,1732048679
6,riachao das neves,-11.7461,-44.91,25.84,61,14,1.47,BR,1732048778
7,waitangi,-43.9535,-176.5597,14.9,83,100,1.79,NZ,1732048780
8,enewetak,11.3474,162.3373,27.97,79,16,7.95,MH,1732048781
9,margaret river,-33.95,115.0667,17.37,94,94,3.0,AU,1732048782
10,sola,-13.8833,167.55,27.12,79,17,9.47,VU,1732048783
11,ingeniero jacobacci,-41.3427,-69.5448,22.82,20,83,8.78,AR,1732048784
12,adamstown,-25.066,-130.1015,22.7,88,100,8.9,PN,1732048785
13,christchurch,-43.5333,172.6333,16.85,57,100,4.12,NZ,1732048505
14,invercargill,-46.4,168.35,11.68,76,65,6.71,NZ,1732048788
15,gadzhiyevo,69.2551,33.3362,-1.8,86,100,9.56,RU,1732048789
16,wailua homesteads,22.0669,-159.378,26.44,82,40,5.14,US,1732048790
17,santo tome,-31.6627,-60.7653,17.81,94,100,6.71,AR,1732048791
18,st. john's,47.5649,-52.7093,10.64,98,100,5.14,CA,1732048792
19,iskateley,67.6803,53.1512,-15.29,85,100,4.87,RU,1732048794
20,bredasdorp,-34.5322,20.0403,17.68,78,99,5.92,ZA,1732048795
21,bilibino,68.0546,166.4372,-18.65,100,98,1.23,RU,1732048796
22,coquimbo,-29.9533,-71.3436,16.1,64,75,5.14,CL,1732048114
23,grytviken,-54.2811,-36.5092,2.37,73,11,1.41,GS,1732048798
24,albany,42.6001,-73.9662,11.62,52,11,1.34,US,1732048558
25,forster,-32.1667,152.5167,16.32,100,0,2.49,AU,1732048801
26,talnakh,69.4865,88.3972,-28.27,99,94,3.49,RU,1732048802
27,yinchuan,38.4681,106.2731,4.45,59,0,1.89,CN,1732048803
28,kenai,60.5544,-151.2583,-16.97,71,0,1.54,US,1732048524
29,olonkinbyen,70.9221,-8.7187,-3.81,63,97,11.19,SJ,1732048805
30,kushiro,42.975,144.3747,-2.47,80,23,2.06,JP,1732048807
31,chonchi,-42.6128,-73.8092,14.51,54,100,1.07,CL,1732048808
32,hawaiian paradise park,19.5933,-154.9731,27.16,74,40,0.89,US,1732048809
33,mangochi,-14.4782,35.2645,24.92,74,100,2.26,MW,1732048810
34,papatowai,-46.5619,169.4708,11.82,68,82,6.3,NZ,1732048811
35,port-aux-francais,-49.35,70.2167,5.96,92,94,12.61,TF,1732048516
36,praia da vitoria,38.7333,-27.0667,18.14,88,40,3.83,PT,1732048814
37,taroa,8.7058,171.2275,28.03,75,100,5.72,MH,1732048815
38,yellowknife,62.456,-114.3525,-16.99,92,20,5.66,CA,1732048816
39,whitehorse,60.7161,-135.0538,-16.57,65,75,4.63,CA,1732048817
40,san luis de la loma,17.2706,-100.8939,29.44,70,79,3.69,MX,1732048818
41,bethel,41.3712,-73.414,14.1,47,0,4.12,US,1732048815
42,alice springs,-23.7,133.8833,15.75,41,5,0.0,AU,1732048821
43,kobryn,52.2138,24.3564,8.09,69,100,9.57,BY,1732048822
44,awjilah,29.1081,21.2869,19.24,38,0,2.2,LY,1732048823
45,cuatro cienegas de carranza,26.9833,-102.0833,27.28,8,0,1.44,MX,1732048824
46,impfondo,1.6381,18.0667,22.1,96,95,0.83,CG,1732048825
47,stanley,54.868,-1.6985,-0.45,77,20,3.6,GB,1732048827
48,ushuaia,-54.8,-68.3,17.81,45,20,5.66,AR,1732048397
49,berdigestyakh,62.0989,126.6992,-22.52,100,98,0.44,RU,1732048829
50,yemetsk,63.4721,41.7941,-2.74,92,100,3.91,RU,1732048830
51,east london,-33.0153,27.9116,20.52,89,60,3.97,ZA,1732048818
52,port elizabeth,-33.918,25.5701,20.17,94,75,5.14,ZA,1732048657
53,iqaluit,63.7506,-68.5145,-0.15,93,75,8.23,CA,1732048834
54,butte,39.6499,-121.5677,10.55,47,20,3.09,US,1732048835
55,isafjordur,66.0755,-23.124,-6.43,71,97,9.43,IS,1732048836
56,turpan,42.9333,89.1667,4.33,44,5,0.95,CN,1732048837
57,grand falls-windsor,48.9332,-55.6649,8.61,96,100,1.79,CA,1732048838
58,port lincoln,-34.7333,135.8667,15.09,77,32,4.78,AU,1732048840
59,saldanha,-33.0117,17.9442,19.03,79,100,3.76,ZA,1732048841
60,nagykata,47.4151,19.7441,6.61,99,98,4.85,HU,1732048842
61,huarmey,-10.0681,-78.1522,21.42,72,57,4.82,PE,1732048843
62,kudahuvadhoo,2.6708,72.8944,26.82,80,96,5.38,MV,1732048844
63,yuzhno-kurilsk,44.0306,145.8556,1.03,64,28,2.12,RU,1732048845
64,porto novo,6.4965,2.6036,28.9,79,66,2.5,BJ,1732048847
65,kavaratti,10.5669,72.642,28.14,75,41,4.34,IN,1732048848
66,urangan,-25.3,152.9,23.74,74,100,4.67,AU,1732048849
67,port alfred,-33.5906,26.891,20.66,90,65,1.34,ZA,1732048851
68,dapa,9.7594,126.0531,26.75,80,100,4.09,PH,1732048853
69,tazovsky,67.4667,78.7,-16.37,96,100,6.23,RU,1732048854
70,zhengjiatun,43.5064,123.5064,-2.62,52,0,2.69,CN,1732048856
71,punta arenas,-53.15,-70.9167,16.06,44,0,7.72,CL,1732048801
72,bubaque,11.2833,-15.8333,28.13,75,63,5.13,GW,1732048860
73,vorgashor,67.5833,63.95,-16.14,97,100,3.46,RU,1732048861
74,carnarvon,-24.8667,113.6333,21.2,69,100,2.43,AU,1732048862
75,utrik,11.2278,169.8474,27.49,77,85,4.28,MH,1732048864
76,luderitz,-26.6481,15.1594,17.88,74,84,3.8,NA,1732048865
77,ribeira grande,38.5167,-28.7,19.22,82,40,4.63,PT,1732048867
78,el calafate,-50.3408,-72.2768,14.27,49,100,5.56,AR,1732048868
79,camana,-16.6228,-72.7111,20.26,76,78,2.87,PE,1732048869
80,namsos,64.4662,11.4957,-3.05,80,40,5.14,NO,1732048870
81,shahrud,36.4182,54.9763,9.34,70,0,2.08,IR,1732048871
82,matoury,4.8483,-52.3317,29.98,70,20,5.14,GF,1732048873
83,mary,37.0,62.5,13.62,50,42,1.51,TM,1732048875
84,hohhot,40.8106,111.6522,0.16,93,9,0.0,CN,1732048876
85,hermanus,-34.4187,19.2345,19.33,77,100,6.25,ZA,1732048877
86,mili,6.0815,171.735,28.57,76,86,6.61,MH,1732048878
87,thunder bay,48.4001,-89.3168,6.99,100,100,10.8,CA,1732048860
88,eyl,7.9803,49.8164,25.43,81,98,5.88,SO,1732048880
89,georgetown,5.4112,100.3354,27.75,78,20,1.03,MY,1732048849
90,eket,4.6412,7.9209,25.98,86,66,2.22,NG,1732048883
91,sisimiut,66.9395,-53.6735,-7.6,60,84,5.38,GL,1732048884
92,blackmans bay,-43.0167,147.3167,10.96,73,100,1.34,AU,1732048885
93,abashiri,44.0213,144.2697,-0.59,61,7,4.46,JP,1732048887
94,kohlu,29.8962,69.252,11.75,31,0,0.26,PK,1732048888
95,waingapu,-9.6567,120.2641,27.3,81,100,1.42,ID,1732048889
96,okha,53.5739,142.9478,-11.47,85,19,4.88,RU,1732048890
97,keflavik,64.0049,-22.5624,-3.76,68,40,7.2,IS,1732048892
98,mariehamn,60.0973,19.9348,-2.08,93,75,3.09,AX,1732048893
99,richards bay,-28.783,32.0377,22.2,95,92,1.42,ZA,1732048894
100,akureyri,65.6835,-18.0878,-5.04,86,75,8.23,IS,1732048895
101,port blair,11.6667,92.75,28.02,78,40,2.06,IN,1732048896
102,pangody,65.85,74.4859,-9.51,92,58,6.2,RU,1732048897
103,bandarbeyla,9.4942,50.8122,26.12,80,100,6.81,SO,1732048899
104,nahrin,36.0649,69.1334,12.75,27,69,2.31,AF,1732048900
105,afaahiti,-17.75,-149.2833,23.39,79,88,9.86,PF,1732048901
106,maun,-19.9833,23.4167,27.98,44,0,1.03,BW,1732048902
107,nuku'alofa,-21.1333,-175.2,27.19,89,75,2.57,TO,1732048904
108,avarua,-21.2078,-159.775,25.03,61,20,10.29,CK,1732048905
109,tiksi,71.6872,128.8694,-31.47,100,82,1.61,RU,1732048906
110,suva,-18.1416,178.4415,26.71,89,75,1.03,FJ,1732048782
111,wamba,8.9333,8.6,25.53,31,40,2.07,NG,1732048908
112,tandag,9.0783,126.1986,25.89,85,99,1.65,PH,1732048910
113,happy valley-goose bay,53.3168,-60.3315,5.17,93,100,9.77,CA,1732048911
114,fulton,33.7668,-84.4499,16.81,91,100,7.2,US,1732048912
115,itoman,26.1247,127.6694,22.27,77,94,5.33,JP,1732048913
116,nadym,65.5333,72.5167,-8.7,94,99,3.68,RU,1732048914
117,tolanaro,-25.0319,46.9987,25.04,83,20,8.75,MG,1732048915
118,jabor,5.921,169.6434,28.89,72,100,5.83,MH,1732048917
119,colonia,50.9333,6.95,3.86,90,100,3.57,DE,1732048918
120,san mariano,7.5,126.0,21.55,97,81,1.04,PH,1732048919
121,puerto ayora,-0.7393,-90.3518,24.75,79,32,3.58,EC,1732048920
122,college,64.8569,-147.8028,-32.03,62,20,0.0,US,1732048921
123,calvillo,21.85,-102.7167,27.98,20,14,4.13,MX,1732048922
124,mildura,-34.2,142.15,13.37,63,2,6.25,AU,1732048924
125,changleng,28.7,115.8167,11.18,73,15,3.11,CN,1732048925
126,tura,25.5198,90.2201,16.71,82,0,1.73,IN,1732048926
127,omidiyeh,30.7597,49.705,21.93,56,75,3.09,IR,1732048927
128,greymouth,-42.4667,171.2,11.7,87,100,5.36,NZ,1732048929
129,villanueva,15.3167,-88.0,34.55,49,20,5.14,HN,1732048863
130,ialibu,-6.2821,143.9935,15.4,92,100,0.82,PG,1732048932
131,longyearbyen,78.2186,15.6401,-12.09,67,20,5.66,SJ,1732048933
132,kodiak,57.79,-152.4072,-1.27,40,0,9.26,US,1732048934
133,port mathurin,-19.6833,63.4167,24.68,88,100,16.61,MU,1732048935
134,troitsko-pechorsk,62.7084,56.1964,0.19,94,100,3.48,RU,1732048936
135,ouesso,1.6136,16.0517,22.93,90,61,0.36,CG,1732048938
136,tayoltita,24.0833,-105.9333,29.16,19,0,2.98,MX,1732048939
137,ha'il,27.5219,41.6907,17.01,48,0,2.06,SA,1732048940
138,calama,-22.4667,-68.9333,23.27,8,0,11.32,CL,1732048682
139,arraial do cabo,-22.9661,-42.0278,22.98,100,100,5.14,BR,1732048944
140,kirakira,-10.4544,161.9205,27.92,80,9,4.14,SB,1732048945
141,tofol,5.3248,163.0078,29.04,70,100,5.57,FM,1732048946
142,lihue,21.9789,-159.3672,26.77,78,40,5.14,US,1732048684
143,east ballina,-28.8667,153.5833,20.51,76,100,5.4,AU,1732048948
144,ustrzyki dolne,49.4304,22.5938,5.9,82,100,9.09,PL,1732048949
145,hithadhoo,-0.6,73.0833,28.04,75,82,5.75,MV,1732048951
146,rawson,-43.3002,-65.1023,23.16,38,0,11.83,AR,1732048863
147,nadi,-17.8,177.4167,28.0,69,75,0.0,FJ,1732048953
148,touros,-5.1989,-35.4608,26.01,76,10,6.12,BR,1732048954
149,ilulissat,69.2167,-51.1,-5.99,45,20,1.03,GL,1732048955
150,baise city,23.8997,106.6133,16.3,78,31,0.36,CN,1732048956
151,dolores,-36.3132,-57.6792,18.14,57,100,5.96,AR,1732048958
152,warmbad,-28.45,18.7333,29.66,20,100,8.19,NA,1732048959
153,ust-nera,64.5667,143.2,-25.49,98,100,1.34,RU,1732048960
154,tromso,69.6496,18.957,0.01,47,0,2.06,NO,1732048961
155,kapa'a,22.0752,-159.319,27.18,81,40,5.14,US,1732048962
156,vilyuysk,63.7553,121.6247,-23.1,99,98,1.19,RU,1732048964
157,badger,64.8,-147.5333,-32.07,66,40,0.0,US,1732048965
158,island harbour,50.724,-1.2758,2.78,69,53,2.68,GB,1732048966
159,kailua-kona,19.6406,-155.9956,27.98,71,20,3.6,US,1732048967
160,agara,42.0376,43.8238,8.67,93,100,1.14,GE,1732048968
161,urcos,-13.6861,-71.6228,15.88,65,99,3.78,PE,1732048969
162,shingu,33.7333,135.9833,11.56,84,100,2.02,JP,1732048972
163,rocha,-34.4833,-54.3333,17.88,62,100,4.06,UY,1732048773
164,udachny,66.4167,112.4,-16.41,97,100,1.52,RU,1732048974
165,colby,39.3958,-101.0524,6.11,43,100,5.66,US,1732048975
166,tateyama,34.9833,139.8667,9.67,90,100,6.28,JP,1732048979
167,ust'-kut,56.7938,105.7672,-1.53,95,100,2.29,RU,1732048980
168,san borja,-14.8167,-66.85,25.35,84,100,1.5,BO,1732048981
169,constantia,44.1833,28.65,4.38,75,96,6.21,RO,1732048982
170,anjozorobe,-18.4,47.8667,14.68,90,69,2.53,MG,1732048984
171,atafu village,-8.5421,-172.5159,28.38,72,26,5.37,TK,1732048985
172,pacific grove,36.6177,-121.9166,15.82,68,58,1.79,US,1732048986
173,thompson,55.7435,-97.8558,0.09,100,100,8.75,CA,1732048987
174,homer,59.6425,-151.5483,-6.07,44,0,1.54,US,1732048988
175,angra do heroismo,38.65,-27.2167,18.34,88,40,3.77,PT,1732048990
176,dudinka,69.4058,86.1778,-30.63,97,71,1.7,RU,1732048991
177,opuwo,-18.0607,13.84,25.1,37,96,1.78,NA,1732048992
178,sabalgarh,26.25,77.4,16.0,39,0,0.61,IN,1732048993
179,lebu,-37.6167,-73.65,13.7,72,100,3.78,CL,1732048994
180,glendive,47.1053,-104.7125,-1.21,86,100,12.86,US,1732048762
181,dunedin,-45.8742,170.5036,10.58,83,100,4.55,NZ,1732048998
182,saipan,15.1355,145.701,26.47,89,75,3.13,MP,1732048999
183,west island,-12.1568,96.8225,26.99,89,75,6.17,CC,1732049000
184,margate,51.3813,1.3862,4.83,80,87,3.13,GB,1732048794
185,grand-lahou,5.1367,-5.0242,26.49,82,88,3.4,CI,1732049003
186,callao,-12.0667,-77.15,21.16,73,100,5.14,PE,1732048771
187,mariental,-24.6333,17.9667,28.79,23,51,3.97,NA,1732049005
188,arar,30.9753,41.0381,15.01,51,0,0.0,SA,1732049007
189,tucupita,9.0622,-62.051,28.92,70,100,2.68,VE,1732049010
190,arenapolis,-14.4503,-56.8461,24.93,84,100,1.44,BR,1732049011
191,singkil,-7.9855,111.4161,24.82,89,99,0.28,ID,1732049012
192,aguacatan,15.3431,-91.3117,24.85,64,75,0.0,GT,1732049014
193,darhan,49.4867,105.9228,-11.59,89,12,2.52,MN,1732048829
194,kayangel,8.0823,134.7173,28.69,75,68,8.52,PW,1732049016
195,madras,13.0878,80.2785,26.68,79,40,1.54,IN,1732048761
196,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,73,20,1.0,RU,1732049018
197,alzamay,55.5562,98.6644,1.33,92,100,5.46,RU,1732049019
198,adrar,20.5022,-10.0711,26.43,12,100,4.32,MR,1732049021
199,sciacca,37.5082,13.0881,15.91,80,30,3.34,IT,1732049022
200,papao,-17.75,-149.55,27.82,79,55,10.77,PF,1732049023
201,chibougamau,49.9168,-74.3659,-0.21,100,100,2.06,CA,1732049024
202,qaqortoq,60.7167,-46.0333,-10.56,68,0,3.1,GL,1732049028
203,sabang,5.8933,95.3214,28.53,74,61,9.18,ID,1732049030
204,darwin,-12.4611,130.8418,24.99,90,65,2.06,AU,1732049031
205,aasiaat,68.7098,-52.8699,-10.56,71,100,2.69,GL,1732049033
206,xining,36.6167,101.7667,-1.46,87,69,0.42,CN,1732048752
207,linxia chengguanzhen,35.6003,103.2064,2.98,66,100,1.16,CN,1732049035
208,robore,-18.3333,-59.75,30.05,66,40,0.0,BO,1732049036
209,luganville,-15.5333,167.1667,26.09,86,53,5.01,VU,1732049037
210,itaituba,-4.2761,-55.9836,34.09,59,20,1.54,BR,1732049039
211,kingston,17.997,-76.7936,30.65,58,20,3.09,JM,1732048881
212,isla vista,34.4133,-119.861,19.08,47,0,3.09,US,1732049041
213,horta,38.5333,-28.6333,17.8,81,40,3.6,PT,1732049042
214,tomatlan,19.9333,-105.25,28.64,65,61,3.41,MX,1732049043
215,nar'yan-mar,67.6713,53.087,-15.24,85,100,4.94,RU,1732049044
216,lata,40.1629,-8.3327,10.9,94,71,0.39,PT,1732049046
217,ta`u,-14.2336,-169.5144,26.9,84,58,10.7,AS,1732049047
218,dukku,10.8231,10.7717,22.67,27,2,3.98,NG,1732049048
219,motueka,-41.1333,173.0167,17.28,48,1,1.07,NZ,1732049049
220,uporovo,56.3109,66.2693,-4.59,95,18,2.77,RU,1732049050
221,vuktyl,63.8567,57.3094,-2.05,93,90,4.44,RU,1732049051
222,sitka,57.0531,-135.33,1.94,55,40,4.12,US,1732049053
223,box elder,41.5005,-112.8764,3.05,37,1,4.53,US,1732049054
224,anchorage,61.2181,-149.9003,-10.18,57,0,8.23,US,1732048965
225,khagaria,25.5,86.4833,19.85,53,0,1.75,IN,1732049058
226,labytnangi,66.6572,66.4183,-18.36,98,100,2.13,RU,1732049060
227,santiago papasquiaro,25.046,-105.4208,25.21,7,0,0.82,MX,1732049061
228,klyuchi,52.2667,79.1667,-8.23,91,6,2.41,RU,1732049062
229,taoudenni,22.6783,-3.9836,27.23,13,100,3.97,ML,1732049063
230,hammerfest,70.6634,23.6821,-2.75,68,0,2.57,NO,1732049066
231,labrador city,52.9463,-66.9114,0.95,98,100,7.6,CA,1732048813
232,zhongshu,24.5167,103.7667,11.38,98,28,1.7,CN,1732049068
233,laojunmiao,39.8333,97.7333,-2.46,41,3,1.2,CN,1732049069
234,ancud,-41.8697,-73.8203,12.33,72,100,4.48,CL,1732049070
235,hadibu,12.65,54.0333,25.98,86,97,3.54,YE,1732049071
236,chegdomyn,51.1167,133.0167,-20.35,99,57,0.57,RU,1732049073
237,antigonish,45.6169,-61.9986,7.1,97,100,4.02,CA,1732049074
238,shush,32.1942,48.2436,20.75,49,8,2.69,IR,1732049075
239,basco,20.4487,121.9702,25.8,85,81,11.69,PH,1732049076
240,dickinson,29.4608,-95.0513,28.38,40,0,4.12,US,1732049077
241,lexington park,38.2668,-76.4538,15.82,66,100,2.06,US,1732049079
242,kununurra,-15.7667,128.7333,24.99,78,48,2.57,AU,1732049080
243,fruitville,27.3298,-82.4576,28.38,57,0,8.23,US,1732049081
244,patterson,37.4716,-121.1297,13.89,45,63,3.84,US,1732049003
245,nieuw amsterdam,5.8833,-55.0833,31.01,66,20,4.12,SR,1732049083
246,tazacorte,28.629,-17.9293,22.3,66,40,4.12,ES,1732049084
247,hamilton,39.1834,-84.5333,19.97,87,100,5.14,US,1732048937
248,pesqueira,-8.3578,-36.6964,25.57,48,54,8.07,BR,1732049087
249,jamestown,42.097,-79.2353,13.8,54,100,2.57,US,1732049088
250,ashburton,-37.8626,145.0794,13.55,65,86,0.45,AU,1732049089
251,rongelap,11.1635,166.8941,28.37,75,37,4.88,MH,1732049090
252,rio grande,-32.035,-52.0986,18.95,68,100,7.14,BR,1732048951
253,boende,-0.2167,20.8667,20.95,99,100,1.1,CD,1732049093
254,revuca,48.6835,20.1173,3.7,97,100,0.65,SK,1732049094
255,saynshand,44.8824,110.1163,-2.5,39,0,2.9,MN,1732049095
256,mar del plata,-38.0023,-57.5575,15.01,73,100,5.14,AR,1732048268
257,remire-montjoly,4.9167,-52.2667,30.02,70,20,5.14,GF,1732049097
258,villa ojo de agua,-29.5,-63.6938,13.86,97,100,8.02,AR,1732049098
259,paramonga,-10.6667,-77.8333,21.21,72,45,4.98,PE,1732049100
260,sinaloa de leyva,25.8333,-108.2333,29.35,28,0,2.08,MX,1732049101
261,pakruojis,55.9667,23.8667,1.13,97,100,6.87,LT,1732049102
262,mpika,-11.8343,31.4529,19.28,74,48,2.49,ZM,1732049103
263,polyarnyy,69.1989,33.4478,-1.87,87,100,9.62,RU,1732049104
264,nyaunglebin,17.95,96.7333,21.09,89,6,1.65,MM,1732049105
265,saint-francois,46.4154,3.9054,12.69,79,100,6.17,FR,1732049107
266,rawlins,41.7911,-107.2387,-2.06,37,75,11.32,US,1732049108
267,karratha,-20.7377,116.8463,27.59,58,74,5.37,AU,1732049110
268,weno,7.4515,151.8468,28.97,89,100,3.09,FM,1732049111
269,ciudad lazaro cardenas,17.9583,-102.2,27.9,76,47,2.03,MX,1732049112
270,greenville,35.6127,-77.3663,20.97,75,0,2.06,US,1732048886
271,gonzaga,44.9498,10.8209,7.81,96,100,0.76,IT,1732049114
272,kerikeri,-35.2268,173.9474,19.95,77,100,2.24,NZ,1732049116
273,new norfolk,-42.7826,147.0587,11.62,62,99,1.04,AU,1732049118
274,villa gesell,-37.2639,-56.973,14.83,72,100,6.57,AR,1732049119
275,buzdyak,54.5833,54.55,0.83,98,100,3.98,RU,1732049120
276,hengchun,22.0042,120.7439,24.1,79,97,9.56,TW,1732049121
277,miranda,3.2499,-76.2281,20.75,97,100,0.98,CO,1732049122
278,uturoa,-16.7333,-151.4333,25.4,74,48,10.59,PF,1732049124
279,barra do corda,-5.5,-45.25,27.07,69,90,2.62,BR,1732049125
280,altai,46.3722,96.2583,-8.58,39,0,0.46,MN,1732049126
281,palikir - national government center,6.9248,158.1611,24.41,94,100,2.06,FM,1732049127
282,kwolla,8.9333,9.2833,26.29,28,6,3.07,NG,1732049128
283,candido de abreu,-24.5669,-51.3333,28.75,55,99,0.7,BR,1732049129
284,inhambane,-23.865,35.3833,23.76,80,22,4.11,MZ,1732049131
285,puerto san jose,13.9256,-90.8244,26.9,83,97,4.18,GT,1732049132
